timestamp_localtime,experiment,pioreactor_unit,timestamp,relative_intensity
2024-08-20 03:51:42,Booch01,pio02,2024-08-20T02:51:42.642216Z,0.07936146616806378
2024-08-20 03:52:02,Booch01,pio02,2024-08-20T02:52:02.642256Z,0.07935701838073397
2024-08-20 03:52:57,Booch01,pio02,2024-08-20T02:52:57.642032Z,0.07934412268666763
2024-08-20 03:53:12,Booch01,pio02,2024-08-20T02:53:12.642192Z,0.07933223891536133
2024-08-20 03:53:47,Booch01,pio02,2024-08-20T02:53:47.642424Z,0.07933916304572608
2024-08-20 03:55:42,Booch01,pio02,2024-08-20T02:55:42.642024Z,0.0793190958101729
2024-08-20 03:57:37,Booch01,pio02,2024-08-20T02:57:37.641904Z,0.07931655313895516
2024-08-20 03:57:52,Booch01,pio02,2024-08-20T02:57:52.641928Z,0.07931395068028314
2024-08-20 03:58:17,Booch01,pio02,2024-08-20T02:58:17.642248Z,0.07931375320650058
2024-08-20 03:58:52,Booch01,pio02,2024-08-20T02:58:52.642120Z,0.07931190968290741
2024-08-20 03:59:07,Booch01,pio02,2024-08-20T02:59:07.641960Z,0.07930608705709996
2024-08-20 03:59:57,Booch01,pio02,2024-08-20T02:59:57.642128Z,0.07933363910135775
2024-08-20 04:00:07,Booch01,pio02,2024-08-20T03:00:07.641888Z,0.079338159193101
2024-08-20 04:00:12,Booch01,pio02,2024-08-20T03:00:12.641912Z,0.0793314486117891
2024-08-20 04:00:47,Booch01,pio02,2024-08-20T03:00:47.642360Z,0.07932222964880382
2024-08-20 04:03:42,Booch01,pio02,2024-08-20T03:03:42.642480Z,0.07933459874646859
2024-08-20 04:04:17,Booch01,pio02,2024-08-20T03:04:17.642024Z,0.07935013376567138
2024-08-20 04:04:42,Booch01,pio02,2024-08-20T03:04:42.642360Z,0.0793522092930643
2024-08-20 04:05:12,Booch01,pio02,2024-08-20T03:05:12.642072Z,0.07933888330568167
2024-08-20 04:07:07,Booch01,pio02,2024-08-20T03:07:07.642152Z,0.07931192931801682
2024-08-20 04:07:22,Booch01,pio02,2024-08-20T03:07:22.642112Z,0.07931805595129315
2024-08-20 04:07:27,Booch01,pio02,2024-08-20T03:07:27.642176Z,0.07932157043016361
2024-08-20 04:07:47,Booch01,pio02,2024-08-20T03:07:47.642096Z,0.07932890519898517
2024-08-20 04:08:07,Booch01,pio02,2024-08-20T03:08:07.642192Z,0.07934430964986376
2024-08-20 04:09:27,Booch01,pio02,2024-08-20T03:09:27.642296Z,0.0793639616506449
2024-08-20 04:12:57,Booch01,pio02,2024-08-20T03:12:57.642000Z,0.07938910533299705
2024-08-20 04:13:02,Booch01,pio02,2024-08-20T03:13:02.641976Z,0.0793920799035766
2024-08-20 04:13:37,Booch01,pio02,2024-08-20T03:13:37.642104Z,0.07940344518336608
2024-08-20 04:14:17,Booch01,pio02,2024-08-20T03:14:17.642144Z,0.0794179721227062
2024-08-20 04:15:12,Booch01,pio02,2024-08-20T03:15:12.642120Z,0.07938640852714414
2024-08-20 04:15:27,Booch01,pio02,2024-08-20T03:15:27.642104Z,0.07937721586408991
2024-08-20 04:16:22,Booch01,pio02,2024-08-20T03:16:22.642256Z,0.07936588003287831
2024-08-20 04:17:07,Booch01,pio02,2024-08-20T03:17:07.642064Z,0.07938280527709524
2024-08-20 04:17:42,Booch01,pio02,2024-08-20T03:17:42.642320Z,0.07938003633819805
2024-08-20 04:18:52,Booch01,pio02,2024-08-20T03:18:52.641992Z,0.07938658568789841
2024-08-20 04:18:57,Booch01,pio02,2024-08-20T03:18:57.642088Z,0.07938380501278017
2024-08-20 04:19:17,Booch01,pio02,2024-08-20T03:19:17.642032Z,0.07938033253928917
2024-08-20 04:20:47,Booch01,pio02,2024-08-20T03:20:47.642320Z,0.07938883806671146
2024-08-20 04:21:22,Booch01,pio02,2024-08-20T03:21:22.642064Z,0.07938255792913224
2024-08-20 04:21:52,Booch01,pio02,2024-08-20T03:21:52.642168Z,0.07938057600785567
2024-08-20 04:22:07,Booch01,pio02,2024-08-20T03:22:07.642088Z,0.07937620582304387
2024-08-20 04:22:27,Booch01,pio02,2024-08-20T03:22:27.641912Z,0.07938038238732296
2024-08-20 04:22:37,Booch01,pio02,2024-08-20T03:22:37.641944Z,0.07937503393975977
2024-08-20 04:23:27,Booch01,pio02,2024-08-20T03:23:27.642048Z,0.07937368221844254
2024-08-20 04:24:07,Booch01,pio02,2024-08-20T03:24:07.642344Z,0.07937881042679931
2024-08-20 04:24:57,Booch01,pio02,2024-08-20T03:24:57.641968Z,0.07937569428094943
2024-08-20 04:25:17,Booch01,pio02,2024-08-20T03:25:17.642064Z,0.07937188901153303
2024-08-20 04:25:27,Booch01,pio02,2024-08-20T03:25:27.642056Z,0.07937170238889094
2024-08-20 04:25:42,Booch01,pio02,2024-08-20T03:25:42.642096Z,0.07937537797505918
2024-08-20 04:25:57,Booch01,pio02,2024-08-20T03:25:57.642184Z,0.07937227190693898
2024-08-20 04:26:07,Booch01,pio02,2024-08-20T03:26:07.642376Z,0.07937125616414202
2024-08-20 04:26:37,Booch01,pio02,2024-08-20T03:26:37.642088Z,0.07936341887407343
2024-08-20 04:26:52,Booch01,pio02,2024-08-20T03:26:52.642144Z,0.07936176890502034
2024-08-20 04:27:47,Booch01,pio02,2024-08-20T03:27:47.641856Z,0.07936442924742265
2024-08-20 04:30:17,Booch01,pio02,2024-08-20T03:30:17.643736Z,0.07938574001078569
2024-08-20 04:30:42,Booch01,pio02,2024-08-20T03:30:42.642240Z,0.07939950105157309
2024-08-20 04:31:07,Booch01,pio02,2024-08-20T03:31:07.641984Z,0.07940976667624658
2024-08-20 04:31:27,Booch01,pio02,2024-08-20T03:31:27.642184Z,0.07940255079384707
2024-08-20 04:31:52,Booch01,pio02,2024-08-20T03:31:52.642024Z,0.07940298213443879
2024-08-20 04:32:07,Booch01,pio02,2024-08-20T03:32:07.642320Z,0.07941502758061249
2024-08-20 04:32:22,Booch01,pio02,2024-08-20T03:32:22.642368Z,0.07941905535802446
2024-08-20 04:33:52,Booch01,pio02,2024-08-20T03:33:52.642112Z,0.0794256344371364
2024-08-20 04:34:27,Booch01,pio02,2024-08-20T03:34:27.642128Z,0.07943361824350874
2024-08-20 04:36:02,Booch01,pio02,2024-08-20T03:36:02.641824Z,0.07943333125398186
2024-08-20 04:36:17,Booch01,pio02,2024-08-20T03:36:17.642152Z,0.07942291994010905
2024-08-20 04:37:07,Booch01,pio02,2024-08-20T03:37:07.642288Z,0.07942266446302464
2024-08-20 04:37:37,Booch01,pio02,2024-08-20T03:37:37.642392Z,0.07942981566095444
2024-08-20 04:39:37,Booch01,pio02,2024-08-20T03:39:37.642064Z,0.07944128330730468
2024-08-20 04:39:42,Booch01,pio02,2024-08-20T03:39:42.642368Z,0.07944130406894802
2024-08-20 04:39:47,Booch01,pio02,2024-08-20T03:39:47.642096Z,0.07944750686316855
2024-08-20 04:40:47,Booch01,pio02,2024-08-20T03:40:47.642200Z,0.07943576936655504
2024-08-20 04:41:17,Booch01,pio02,2024-08-20T03:41:17.642104Z,0.0794367769899741
2024-08-20 04:41:27,Booch01,pio02,2024-08-20T03:41:27.642216Z,0.07943087096118437
2024-08-20 04:41:37,Booch01,pio02,2024-08-20T03:41:37.642176Z,0.07942207349436717
2024-08-20 04:42:12,Booch01,pio02,2024-08-20T03:42:12.642296Z,0.07942991636582511
2024-08-20 04:42:57,Booch01,pio02,2024-08-20T03:42:57.642576Z,0.07943839813261054
2024-08-20 04:43:32,Booch01,pio02,2024-08-20T03:43:32.642136Z,0.07942598578153814
2024-08-20 04:43:57,Booch01,pio02,2024-08-20T03:43:57.642296Z,0.07941750320666921
2024-08-20 04:44:02,Booch01,pio02,2024-08-20T03:44:02.642072Z,0.0794172219072445
2024-08-20 04:45:22,Booch01,pio02,2024-08-20T03:45:22.642328Z,0.07943313838904231
2024-08-20 04:45:32,Booch01,pio02,2024-08-20T03:45:32.642176Z,0.07943646080026828
2024-08-20 04:45:42,Booch01,pio02,2024-08-20T03:45:42.642280Z,0.07944243527829895
2024-08-20 04:45:47,Booch01,pio02,2024-08-20T03:45:47.642008Z,0.07944072898644874
2024-08-20 04:46:22,Booch01,pio02,2024-08-20T03:46:22.644016Z,0.07944743107873618
2024-08-20 04:46:47,Booch01,pio02,2024-08-20T03:46:47.642272Z,0.07944266879812263
2024-08-20 04:46:57,Booch01,pio02,2024-08-20T03:46:57.642232Z,0.07944197835331804
2024-08-20 04:48:02,Booch01,pio02,2024-08-20T03:48:02.641856Z,0.07944784526485406
2024-08-20 04:48:07,Booch01,pio02,2024-08-20T03:48:07.641680Z,0.0794476347200018
2024-08-20 04:48:17,Booch01,pio02,2024-08-20T03:48:17.642248Z,0.07945397032322347
2024-08-20 04:48:42,Booch01,pio02,2024-08-20T03:48:42.642040Z,0.07945104570907915
2024-08-20 04:49:12,Booch01,pio02,2024-08-20T03:49:12.642160Z,0.07945201884485599
2024-08-20 04:52:32,Booch01,pio02,2024-08-20T03:52:32.642032Z,0.0794234320691864
2024-08-20 04:52:47,Booch01,pio02,2024-08-20T03:52:47.641888Z,0.07941669750982958
2024-08-20 04:52:57,Booch01,pio02,2024-08-20T03:52:57.642336Z,0.07941149108513701
2024-08-20 04:53:12,Booch01,pio02,2024-08-20T03:53:12.642040Z,0.07941183607158936
2024-08-20 04:53:37,Booch01,pio02,2024-08-20T03:53:37.642136Z,0.07940432571753507
2024-08-20 04:54:17,Booch01,pio02,2024-08-20T03:54:17.641808Z,0.07940094110798067
2024-08-20 04:54:37,Booch01,pio02,2024-08-20T03:54:37.642160Z,0.07940740961112963
2024-08-20 04:55:12,Booch01,pio02,2024-08-20T03:55:12.642160Z,0.07941869628808294
2024-08-20 04:57:47,Booch01,pio02,2024-08-20T03:57:47.642192Z,0.07947862844754724
2024-08-20 04:58:22,Booch01,pio02,2024-08-20T03:58:22.642744Z,0.0794734946352821
2024-08-20 04:58:47,Booch01,pio02,2024-08-20T03:58:47.642152Z,0.07948817990039916
2024-08-20 04:58:57,Booch01,pio02,2024-08-20T03:58:57.642400Z,0.07948388540142794
2024-08-20 05:00:47,Booch01,pio02,2024-08-20T04:00:47.642056Z,0.07946538305961368
2024-08-20 05:01:12,Booch01,pio02,2024-08-20T04:01:12.642152Z,0.07945798029295326
2024-08-20 05:02:02,Booch01,pio02,2024-08-20T04:02:02.642368Z,0.07946303890978004
2024-08-20 05:02:12,Booch01,pio02,2024-08-20T04:02:12.642272Z,0.07946320240578605
2024-08-20 05:03:02,Booch01,pio02,2024-08-20T04:03:02.642224Z,0.07945056906305803
2024-08-20 05:03:42,Booch01,pio02,2024-08-20T04:03:42.642152Z,0.07943940056560769
2024-08-20 05:03:47,Booch01,pio02,2024-08-20T04:03:47.642232Z,0.07943612509371309
2024-08-20 05:04:42,Booch01,pio02,2024-08-20T04:04:42.641864Z,0.07943208193005456
2024-08-20 05:05:42,Booch01,pio02,2024-08-20T04:05:42.642040Z,0.07943897807104698
2024-08-20 05:05:52,Booch01,pio02,2024-08-20T04:05:52.642016Z,0.0794481468696987
2024-08-20 05:06:17,Booch01,pio02,2024-08-20T04:06:17.642080Z,0.07945743119156443
2024-08-20 05:06:47,Booch01,pio02,2024-08-20T04:06:47.641912Z,0.07945733301982696
2024-08-20 05:07:37,Booch01,pio02,2024-08-20T04:07:37.642008Z,0.07946852505807148
2024-08-20 05:08:32,Booch01,pio02,2024-08-20T04:08:32.642184Z,0.07946627209599225
2024-08-20 05:09:32,Booch01,pio02,2024-08-20T04:09:32.642208Z,0.0794780146657599
2024-08-20 05:10:52,Booch01,pio02,2024-08-20T04:10:52.642032Z,0.07946954776339896
2024-08-20 05:10:57,Booch01,pio02,2024-08-20T04:10:57.642016Z,0.07947087670883189
2024-08-20 05:11:02,Booch01,pio02,2024-08-20T04:11:02.642008Z,0.07946739695298767
2024-08-20 05:12:07,Booch01,pio02,2024-08-20T04:12:07.642096Z,0.07945856783805869
2024-08-20 05:14:12,Booch01,pio02,2024-08-20T04:14:12.642096Z,0.07943906163767855
2024-08-20 05:15:42,Booch01,pio02,2024-08-20T04:15:42.641944Z,0.07945227083293667
2024-08-20 05:16:42,Booch01,pio02,2024-08-20T04:16:42.642168Z,0.07948253603146192
2024-08-20 05:16:47,Booch01,pio02,2024-08-20T04:16:47.642264Z,0.07948089094180462
2024-08-20 05:16:57,Booch01,pio02,2024-08-20T04:16:57.642440Z,0.07947813106203928
2024-08-20 05:18:02,Booch01,pio02,2024-08-20T04:18:02.642224Z,0.07947880414568174
2024-08-20 05:19:47,Booch01,pio02,2024-08-20T04:19:47.642200Z,0.07947775683368276
2024-08-20 05:19:57,Booch01,pio02,2024-08-20T04:19:57.642160Z,0.07947469805259134
2024-08-20 05:20:52,Booch01,pio02,2024-08-20T04:20:52.642088Z,0.07949461405136103
2024-08-20 05:22:17,Booch01,pio02,2024-08-20T04:22:17.642312Z,0.07950538849883557
2024-08-20 05:23:02,Booch01,pio02,2024-08-20T04:23:02.642040Z,0.0794987764933374
2024-08-20 05:23:27,Booch01,pio02,2024-08-20T04:23:27.642352Z,0.07949890717371283
2024-08-20 05:24:02,Booch01,pio02,2024-08-20T04:24:02.642232Z,0.07949555520923418
2024-08-20 05:24:52,Booch01,pio02,2024-08-20T04:24:52.642104Z,0.0795080250052687
2024-08-20 05:25:07,Booch01,pio02,2024-08-20T04:25:07.641960Z,0.07951005005593237
2024-08-20 05:25:22,Booch01,pio02,2024-08-20T04:25:22.642160Z,0.07951218956482227
2024-08-20 05:25:47,Booch01,pio02,2024-08-20T04:25:47.642088Z,0.07951545035257974
2024-08-20 05:25:57,Booch01,pio02,2024-08-20T04:25:57.642216Z,0.07951767851023654
2024-08-20 05:26:17,Booch01,pio02,2024-08-20T04:26:17.642232Z,0.07951308315971686
2024-08-20 05:26:22,Booch01,pio02,2024-08-20T04:26:22.642336Z,0.07951554970144213
2024-08-20 05:26:52,Booch01,pio02,2024-08-20T04:26:52.642200Z,0.07951294167068026
2024-08-20 05:28:12,Booch01,pio02,2024-08-20T04:28:12.642256Z,0.07951882424356761
2024-08-20 05:30:52,Booch01,pio02,2024-08-20T04:30:52.642064Z,0.07950649382978094
2024-08-20 05:32:42,Booch01,pio02,2024-08-20T04:32:42.642240Z,0.0795061843436566
2024-08-20 05:33:07,Booch01,pio02,2024-08-20T04:33:07.642080Z,0.07952099004862548
2024-08-20 05:33:27,Booch01,pio02,2024-08-20T04:33:27.641880Z,0.07952079450024231
2024-08-20 05:33:32,Booch01,pio02,2024-08-20T04:33:32.641944Z,0.07952227153531974
2024-08-20 05:34:07,Booch01,pio02,2024-08-20T04:34:07.642256Z,0.07952887457328398
2024-08-20 05:34:12,Booch01,pio02,2024-08-20T04:34:12.642320Z,0.07953012612843047
2024-08-20 05:35:27,Booch01,pio02,2024-08-20T04:35:27.642120Z,0.07952300828165962
2024-08-20 05:36:42,Booch01,pio02,2024-08-20T04:36:42.642136Z,0.07949602079038806
2024-08-20 05:36:52,Booch01,pio02,2024-08-20T04:36:52.641832Z,0.07949162178096159
2024-08-20 05:36:57,Booch01,pio02,2024-08-20T04:36:57.642040Z,0.07949608679033224
2024-08-20 05:37:07,Booch01,pio02,2024-08-20T04:37:07.642272Z,0.07949814330161317
2024-08-20 05:37:12,Booch01,pio02,2024-08-20T04:37:12.642288Z,0.07949918794229488
2024-08-20 05:37:42,Booch01,pio02,2024-08-20T04:37:42.642216Z,0.07950955462753345
2024-08-20 05:38:37,Booch01,pio02,2024-08-20T04:38:37.642000Z,0.07949390066781135
2024-08-20 05:38:57,Booch01,pio02,2024-08-20T04:38:57.642264Z,0.07948897797252354
2024-08-20 05:39:52,Booch01,pio02,2024-08-20T04:39:52.642024Z,0.07948759261561335
2024-08-20 05:39:57,Booch01,pio02,2024-08-20T04:39:57.642088Z,0.07948431495831199
2024-08-20 05:40:12,Booch01,pio02,2024-08-20T04:40:12.642128Z,0.07948718454868217
2024-08-20 05:40:47,Booch01,pio02,2024-08-20T04:40:47.642720Z,0.07948510856966218
2024-08-20 05:42:37,Booch01,pio02,2024-08-20T04:42:37.642224Z,0.07952274099297932
2024-08-20 05:42:52,Booch01,pio02,2024-08-20T04:42:52.642176Z,0.07950344780741092
2024-08-20 05:44:42,Booch01,pio02,2024-08-20T04:44:42.642432Z,0.07951518199492999
