timestamp_localtime,experiment,pioreactor_unit,timestamp,temperature_c
2024-08-11 08:47:34,Booch01,pio02,2024-08-11T07:47:34.342561Z,20.88
2024-08-11 08:50:54,Booch01,pio02,2024-08-11T07:50:54.344097Z,20.88
2024-08-11 08:54:14,Booch01,pio02,2024-08-11T07:54:14.342127Z,20.85
2024-08-11 08:57:34,Booch01,pio02,2024-08-11T07:57:34.342800Z,20.81
2024-08-11 09:00:54,Booch01,pio02,2024-08-11T08:00:54.344965Z,20.81
2024-08-11 09:04:14,Booch01,pio02,2024-08-11T08:04:14.343830Z,20.83
2024-08-11 09:07:34,Booch01,pio02,2024-08-11T08:07:34.344359Z,20.81
2024-08-11 09:10:54,Booch01,pio02,2024-08-11T08:10:54.345219Z,20.81
2024-08-11 09:14:14,Booch01,pio02,2024-08-11T08:14:14.345632Z,20.81
2024-08-11 09:17:34,Booch01,pio02,2024-08-11T08:17:34.343323Z,20.79
2024-08-11 09:20:54,Booch01,pio02,2024-08-11T08:20:54.344517Z,20.75
2024-08-11 09:24:14,Booch01,pio02,2024-08-11T08:24:14.344662Z,20.75
2024-08-11 09:27:34,Booch01,pio02,2024-08-11T08:27:34.343292Z,20.75
2024-08-11 09:30:54,Booch01,pio02,2024-08-11T08:30:54.344090Z,20.75
2024-08-11 09:34:14,Booch01,pio02,2024-08-11T08:34:14.342579Z,20.75
2024-08-11 09:37:34,Booch01,pio02,2024-08-11T08:37:34.343628Z,20.74
2024-08-11 09:40:54,Booch01,pio02,2024-08-11T08:40:54.345437Z,20.75
2024-08-11 09:44:14,Booch01,pio02,2024-08-11T08:44:14.346370Z,20.69
2024-08-11 09:47:34,Booch01,pio02,2024-08-11T08:47:34.344826Z,20.69
2024-08-11 09:50:54,Booch01,pio02,2024-08-11T08:50:54.345169Z,20.69
2024-08-11 09:54:14,Booch01,pio02,2024-08-11T08:54:14.343224Z,20.68
2024-08-11 09:57:34,Booch01,pio02,2024-08-11T08:57:34.345294Z,20.65
2024-08-11 10:00:54,Booch01,pio02,2024-08-11T09:00:54.342509Z,20.66
2024-08-11 10:04:14,Booch01,pio02,2024-08-11T09:04:14.342429Z,20.68
2024-08-11 10:07:34,Booch01,pio02,2024-08-11T09:07:34.345765Z,20.62
2024-08-11 10:10:54,Booch01,pio02,2024-08-11T09:10:54.346509Z,20.62
2024-08-11 10:14:14,Booch01,pio02,2024-08-11T09:14:14.346686Z,20.62
2024-08-11 10:17:34,Booch01,pio02,2024-08-11T09:17:34.345701Z,20.6
2024-08-11 10:20:54,Booch01,pio02,2024-08-11T09:20:54.345873Z,20.59
2024-08-11 10:24:14,Booch01,pio02,2024-08-11T09:24:14.345217Z,20.6
2024-08-11 10:27:34,Booch01,pio02,2024-08-11T09:27:34.345148Z,20.56
2024-08-11 10:30:54,Booch01,pio02,2024-08-11T09:30:54.345410Z,20.58
2024-08-11 10:34:14,Booch01,pio02,2024-08-11T09:34:14.343310Z,20.57
2024-08-11 10:37:34,Booch01,pio02,2024-08-11T09:37:34.345563Z,20.56
2024-08-11 10:40:54,Booch01,pio02,2024-08-11T09:40:54.343240Z,20.58
2024-08-11 10:44:14,Booch01,pio02,2024-08-11T09:44:14.346061Z,20.58
2024-08-11 10:47:34,Booch01,pio02,2024-08-11T09:47:34.343755Z,20.56
2024-08-11 10:50:54,Booch01,pio02,2024-08-11T09:50:54.344874Z,20.58
2024-08-11 10:54:14,Booch01,pio02,2024-08-11T09:54:14.344051Z,20.56
2024-08-11 10:57:34,Booch01,pio02,2024-08-11T09:57:34.345674Z,20.56
2024-08-11 11:00:54,Booch01,pio02,2024-08-11T10:00:54.344818Z,20.56
2024-08-11 11:04:14,Booch01,pio02,2024-08-11T10:04:14.342764Z,20.56
2024-08-11 11:07:34,Booch01,pio02,2024-08-11T10:07:34.344743Z,20.57
2024-08-11 11:10:54,Booch01,pio02,2024-08-11T10:10:54.343886Z,20.56
2024-08-11 11:14:14,Booch01,pio02,2024-08-11T10:14:14.344636Z,20.56
