timestamp_localtime,experiment,pioreactor_unit,timestamp,event,volume_change_ml,source_of_event
2024-08-11 08:13:57,Booch01,pio02,2024-08-11T07:13:57.352744Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 08:14:18,Booch01,pio02,2024-08-11T07:14:18.179202Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 08:14:46,Booch01,pio02,2024-08-11T07:14:46.589458Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 08:14:57,Booch01,pio02,2024-08-11T07:14:57.077813Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 08:15:17,Booch01,pio02,2024-08-11T07:15:17.902241Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 08:15:46,Booch01,pio02,2024-08-11T07:15:46.212733Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 08:15:56,Booch01,pio02,2024-08-11T07:15:56.699624Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 08:16:17,Booch01,pio02,2024-08-11T07:16:17.527693Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 08:16:45,Booch01,pio02,2024-08-11T07:16:45.838297Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 08:16:56,Booch01,pio02,2024-08-11T07:16:56.427002Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 08:17:17,Booch01,pio02,2024-08-11T07:17:17.254800Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 08:17:45,Booch01,pio02,2024-08-11T07:17:45.564467Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 08:17:56,Booch01,pio02,2024-08-11T07:17:56.049630Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 08:18:16,Booch01,pio02,2024-08-11T07:18:16.875206Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 08:18:45,Booch01,pio02,2024-08-11T07:18:45.184661Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 08:18:55,Booch01,pio02,2024-08-11T07:18:55.672619Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 08:19:16,Booch01,pio02,2024-08-11T07:19:16.599042Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 08:19:44,Booch01,pio02,2024-08-11T07:19:44.909842Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 08:19:55,Booch01,pio02,2024-08-11T07:19:55.396852Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 08:20:16,Booch01,pio02,2024-08-11T07:20:16.221507Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 08:20:44,Booch01,pio02,2024-08-11T07:20:44.530736Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 08:20:55,Booch01,pio02,2024-08-11T07:20:55.017787Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 08:21:21,Booch01,pio02,2024-08-11T07:21:21.245512Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 08:21:49,Booch01,pio02,2024-08-11T07:21:49.554154Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 08:22:00,Booch01,pio02,2024-08-11T07:22:00.039577Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 08:22:20,Booch01,pio02,2024-08-11T07:22:20.863896Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 08:22:49,Booch01,pio02,2024-08-11T07:22:49.173283Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 08:22:59,Booch01,pio02,2024-08-11T07:22:59.661471Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 08:23:20,Booch01,pio02,2024-08-11T07:23:20.488503Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 08:23:48,Booch01,pio02,2024-08-11T07:23:48.899384Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 08:23:59,Booch01,pio02,2024-08-11T07:23:59.385677Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 08:24:20,Booch01,pio02,2024-08-11T07:24:20.211101Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 08:24:48,Booch01,pio02,2024-08-11T07:24:48.523955Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 08:24:59,Booch01,pio02,2024-08-11T07:24:59.010881Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 08:25:19,Booch01,pio02,2024-08-11T07:25:19.836233Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 08:25:48,Booch01,pio02,2024-08-11T07:25:48.146309Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 08:25:58,Booch01,pio02,2024-08-11T07:25:58.767154Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 08:26:19,Booch01,pio02,2024-08-11T07:26:19.591248Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 08:26:47,Booch01,pio02,2024-08-11T07:26:47.905305Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 08:26:58,Booch01,pio02,2024-08-11T07:26:58.391667Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 08:27:19,Booch01,pio02,2024-08-11T07:27:19.215128Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 08:27:47,Booch01,pio02,2024-08-11T07:27:47.526916Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 08:27:58,Booch01,pio02,2024-08-11T07:27:58.047210Z,remove_waste,1.875,dosing_automation:chemostat
