timestamp_localtime,experiment,pioreactor_unit,timestamp,alt_media_fraction
2024-08-16 06:17:57,Booch01,pio02,2024-08-16T05:17:57.552525Z,0.0
2024-08-16 06:18:18,Booch01,pio02,2024-08-16T05:18:18.380852Z,0.0
2024-08-16 06:18:46,Booch01,pio02,2024-08-16T05:18:46.696217Z,0.0
2024-08-16 06:18:57,Booch01,pio02,2024-08-16T05:18:57.184453Z,0.0
2024-08-16 06:19:18,Booch01,pio02,2024-08-16T05:19:18.012572Z,0.0
2024-08-16 06:19:46,Booch01,pio02,2024-08-16T05:19:46.323869Z,0.0
2024-08-16 06:19:56,Booch01,pio02,2024-08-16T05:19:56.917047Z,0.0
2024-08-16 06:20:17,Booch01,pio02,2024-08-16T05:20:17.740721Z,0.0
2024-08-16 06:20:46,Booch01,pio02,2024-08-16T05:20:46.056242Z,0.0
2024-08-16 06:20:56,Booch01,pio02,2024-08-16T05:20:56.544327Z,0.0
2024-08-16 06:21:17,Booch01,pio02,2024-08-16T05:21:17.404720Z,0.0
2024-08-16 06:21:45,Booch01,pio02,2024-08-16T05:21:45.716654Z,0.0
2024-08-16 06:21:56,Booch01,pio02,2024-08-16T05:21:56.208836Z,0.0
2024-08-16 06:22:17,Booch01,pio02,2024-08-16T05:22:17.136009Z,0.0
2024-08-16 06:22:45,Booch01,pio02,2024-08-16T05:22:45.448821Z,0.0
2024-08-16 06:22:55,Booch01,pio02,2024-08-16T05:22:55.936719Z,0.0
2024-08-16 06:23:16,Booch01,pio02,2024-08-16T05:23:16.764654Z,0.0
2024-08-16 06:23:45,Booch01,pio02,2024-08-16T05:23:45.076648Z,0.0
2024-08-16 06:23:55,Booch01,pio02,2024-08-16T05:23:55.564662Z,0.0
2024-08-16 06:24:16,Booch01,pio02,2024-08-16T05:24:16.392075Z,0.0
2024-08-16 06:24:44,Booch01,pio02,2024-08-16T05:24:44.803882Z,0.0
2024-08-16 06:24:55,Booch01,pio02,2024-08-16T05:24:55.296506Z,0.0
2024-08-16 06:25:21,Booch01,pio02,2024-08-16T05:25:21.188138Z,0.0
2024-08-16 06:25:49,Booch01,pio02,2024-08-16T05:25:49.500272Z,0.0
2024-08-16 06:25:59,Booch01,pio02,2024-08-16T05:25:59.988448Z,0.0
2024-08-16 06:26:20,Booch01,pio02,2024-08-16T05:26:20.812968Z,0.0
2024-08-16 06:26:49,Booch01,pio02,2024-08-16T05:26:49.228572Z,0.0
2024-08-16 06:26:59,Booch01,pio02,2024-08-16T05:26:59.721704Z,0.0
2024-08-16 06:27:20,Booch01,pio02,2024-08-16T05:27:20.551899Z,0.0
2024-08-16 06:27:48,Booch01,pio02,2024-08-16T05:27:48.864140Z,0.0
2024-08-16 06:27:59,Booch01,pio02,2024-08-16T05:27:59.352214Z,0.0
2024-08-16 06:28:20,Booch01,pio02,2024-08-16T05:28:20.180453Z,0.0
2024-08-16 06:28:48,Booch01,pio02,2024-08-16T05:28:48.492176Z,0.0
2024-08-16 06:28:59,Booch01,pio02,2024-08-16T05:28:59.084016Z,0.0
2024-08-16 06:29:19,Booch01,pio02,2024-08-16T05:29:19.913162Z,0.0
2024-08-16 06:29:48,Booch01,pio02,2024-08-16T05:29:48.225012Z,0.0
2024-08-16 06:29:58,Booch01,pio02,2024-08-16T05:29:58.725078Z,0.0
2024-08-16 06:30:19,Booch01,pio02,2024-08-16T05:30:19.564630Z,0.0
2024-08-16 06:30:47,Booch01,pio02,2024-08-16T05:30:47.875934Z,0.0
2024-08-16 06:30:58,Booch01,pio02,2024-08-16T05:30:58.365454Z,0.0
2024-08-16 06:31:19,Booch01,pio02,2024-08-16T05:31:19.296475Z,0.0
2024-08-16 06:31:47,Booch01,pio02,2024-08-16T05:31:47.616102Z,0.0
2024-08-16 06:31:58,Booch01,pio02,2024-08-16T05:31:58.108285Z,0.0
2024-08-16 06:32:18,Booch01,pio02,2024-08-16T05:32:18.938065Z,0.0
2024-08-16 06:32:47,Booch01,pio02,2024-08-16T05:32:47.247957Z,0.0
2024-08-16 06:32:57,Booch01,pio02,2024-08-16T05:32:57.736545Z,0.0
2024-08-16 06:33:18,Booch01,pio02,2024-08-16T05:33:18.624348Z,0.0
2024-08-16 06:33:47,Booch01,pio02,2024-08-16T05:33:47.040839Z,0.0
2024-08-16 06:33:57,Booch01,pio02,2024-08-16T05:33:57.529133Z,0.0
2024-08-16 06:34:18,Booch01,pio02,2024-08-16T05:34:18.345098Z,0.0
2024-08-16 06:34:46,Booch01,pio02,2024-08-16T05:34:46.663936Z,0.0
2024-08-16 06:34:57,Booch01,pio02,2024-08-16T05:34:57.152808Z,0.0
2024-08-16 06:35:17,Booch01,pio02,2024-08-16T05:35:17.980751Z,0.0
2024-08-16 06:35:46,Booch01,pio02,2024-08-16T05:35:46.292678Z,0.0
2024-08-16 06:35:56,Booch01,pio02,2024-08-16T05:35:56.884197Z,0.0
2024-08-16 06:36:17,Booch01,pio02,2024-08-16T05:36:17.716931Z,0.0
2024-08-16 06:36:46,Booch01,pio02,2024-08-16T05:36:46.028790Z,0.0
2024-08-16 06:36:56,Booch01,pio02,2024-08-16T05:36:56.516667Z,0.0
2024-08-16 06:37:17,Booch01,pio02,2024-08-16T05:37:17.344360Z,0.0
2024-08-16 06:37:45,Booch01,pio02,2024-08-16T05:37:45.656847Z,0.0
2024-08-16 06:37:56,Booch01,pio02,2024-08-16T05:37:56.136020Z,0.0
2024-08-16 06:38:17,Booch01,pio02,2024-08-16T05:38:17.072777Z,0.0
2024-08-16 06:38:45,Booch01,pio02,2024-08-16T05:38:45.384037Z,0.0
2024-08-16 06:38:55,Booch01,pio02,2024-08-16T05:38:55.872232Z,0.0
2024-08-16 06:39:16,Booch01,pio02,2024-08-16T05:39:16.704236Z,0.0
2024-08-16 06:39:45,Booch01,pio02,2024-08-16T05:39:45.065149Z,0.0
2024-08-16 06:39:55,Booch01,pio02,2024-08-16T05:39:55.548305Z,0.0
2024-08-16 06:40:16,Booch01,pio02,2024-08-16T05:40:16.376173Z,0.0
2024-08-16 06:40:44,Booch01,pio02,2024-08-16T05:40:44.792085Z,0.0
2024-08-16 06:40:55,Booch01,pio02,2024-08-16T05:40:55.280257Z,0.0
2024-08-16 06:41:21,Booch01,pio02,2024-08-16T05:41:21.212457Z,0.0
2024-08-16 06:41:49,Booch01,pio02,2024-08-16T05:41:49.532290Z,0.0
2024-08-16 06:42:00,Booch01,pio02,2024-08-16T05:42:00.052709Z,0.0
2024-08-16 06:42:20,Booch01,pio02,2024-08-16T05:42:20.880751Z,0.0
2024-08-16 06:42:49,Booch01,pio02,2024-08-16T05:42:49.296667Z,0.0
2024-08-16 06:42:59,Booch01,pio02,2024-08-16T05:42:59.777112Z,0.0
2024-08-16 06:43:20,Booch01,pio02,2024-08-16T05:43:20.639631Z,0.0
2024-08-16 06:43:48,Booch01,pio02,2024-08-16T05:43:48.956292Z,0.0
2024-08-16 06:43:59,Booch01,pio02,2024-08-16T05:43:59.500230Z,0.0
2024-08-16 06:44:20,Booch01,pio02,2024-08-16T05:44:20.328329Z,0.0
2024-08-16 06:44:48,Booch01,pio02,2024-08-16T05:44:48.648265Z,0.0
2024-08-16 06:44:59,Booch01,pio02,2024-08-16T05:44:59.240275Z,0.0
2024-08-16 06:45:20,Booch01,pio02,2024-08-16T05:45:20.069127Z,0.0
2024-08-16 06:45:48,Booch01,pio02,2024-08-16T05:45:48.384665Z,0.0
2024-08-16 06:45:58,Booch01,pio02,2024-08-16T05:45:58.872084Z,0.0
2024-08-16 06:46:19,Booch01,pio02,2024-08-16T05:46:19.699640Z,0.0
2024-08-16 06:46:48,Booch01,pio02,2024-08-16T05:46:48.016554Z,0.0
2024-08-16 06:46:58,Booch01,pio02,2024-08-16T05:46:58.504245Z,0.0
2024-08-16 06:47:19,Booch01,pio02,2024-08-16T05:47:19.436570Z,0.0
2024-08-16 06:47:47,Booch01,pio02,2024-08-16T05:47:47.748579Z,0.0
2024-08-16 06:47:58,Booch01,pio02,2024-08-16T05:47:58.236455Z,0.0
2024-08-16 06:48:19,Booch01,pio02,2024-08-16T05:48:19.065204Z,0.0
2024-08-16 06:48:47,Booch01,pio02,2024-08-16T05:48:47.376393Z,0.0
2024-08-16 06:48:57,Booch01,pio02,2024-08-16T05:48:57.864066Z,0.0
2024-08-16 06:49:18,Booch01,pio02,2024-08-16T05:49:18.712326Z,0.0
