timestamp_localtime,experiment,pioreactor_unit,timestamp,event_name,message,data
2023-12-08 05:26:12,Spirulina 003,pio001,2023-12-08T05:26:12.066567Z,UpdatedHeaterDC,delta_dc=0.13500000000000512,"{""current_dc"": 48.87, ""delta_dc"": 0.13500000000000512}"
2023-12-08 05:29:57,Spirulina 003,pio001,2023-12-08T05:29:57.075166Z,UpdatedHeaterDC,delta_dc=0.07499999999998508,"{""current_dc"": 48.94, ""delta_dc"": 0.07499999999998508}"
2023-12-08 05:33:42,Spirulina 003,pio001,2023-12-08T05:33:42.065822Z,UpdatedHeaterDC,delta_dc=-0.04499999999999105,"{""current_dc"": 48.9, ""delta_dc"": -0.04499999999999105}"
2023-12-08 05:37:27,Spirulina 003,pio001,2023-12-08T05:37:27.059790Z,UpdatedHeaterDC,delta_dc=0.0,"{""current_dc"": 48.9, ""delta_dc"": 0.0}"
2023-12-08 05:41:12,Spirulina 003,pio001,2023-12-08T05:41:12.065859Z,UpdatedHeaterDC,delta_dc=0.15000000000002345,"{""current_dc"": 49.05, ""delta_dc"": 0.15000000000002345}"
2023-12-08 05:44:57,Spirulina 003,pio001,2023-12-08T05:44:57.075621Z,UpdatedHeaterDC,delta_dc=-0.16499999999999915,"{""current_dc"": 48.88, ""delta_dc"": -0.16499999999999915}"
2023-12-08 05:48:42,Spirulina 003,pio001,2023-12-08T05:48:42.063603Z,UpdatedHeaterDC,delta_dc=-0.1050000000000324,"{""current_dc"": 48.77, ""delta_dc"": -0.1050000000000324}"
2023-12-08 05:52:27,Spirulina 003,pio001,2023-12-08T05:52:27.063789Z,UpdatedHeaterDC,delta_dc=0.3900000000000077,"{""current_dc"": 49.16, ""delta_dc"": 0.3900000000000077}"
2023-12-08 05:56:12,Spirulina 003,pio001,2023-12-08T05:56:12.079501Z,UpdatedHeaterDC,delta_dc=-0.25499999999998124,"{""current_dc"": 48.91, ""delta_dc"": -0.25499999999998124}"
2023-12-08 05:59:57,Spirulina 003,pio001,2023-12-08T05:59:57.056990Z,UpdatedHeaterDC,delta_dc=-0.02999999999999403,"{""current_dc"": 48.88, ""delta_dc"": -0.02999999999999403}"
2023-12-08 06:03:42,Spirulina 003,pio001,2023-12-08T06:03:42.069943Z,UpdatedHeaterDC,delta_dc=0.04499999999999105,"{""current_dc"": 48.92, ""delta_dc"": 0.04499999999999105}"
2023-12-08 06:07:27,Spirulina 003,pio001,2023-12-08T06:07:27.064939Z,UpdatedHeaterDC,delta_dc=0.0,"{""current_dc"": 48.92, ""delta_dc"": 0.0}"
2023-12-08 06:11:12,Spirulina 003,pio001,2023-12-08T06:11:12.073849Z,UpdatedHeaterDC,delta_dc=0.0,"{""current_dc"": 48.92, ""delta_dc"": 0.0}"
2023-12-08 06:14:57,Spirulina 003,pio001,2023-12-08T06:14:57.073113Z,UpdatedHeaterDC,delta_dc=0.0,"{""current_dc"": 48.92, ""delta_dc"": 0.0}"
2023-12-08 06:18:42,Spirulina 003,pio001,2023-12-08T06:18:42.082707Z,UpdatedHeaterDC,delta_dc=0.15000000000002345,"{""current_dc"": 49.07, ""delta_dc"": 0.15000000000002345}"
2023-12-08 06:22:27,Spirulina 003,pio001,2023-12-08T06:22:27.063305Z,UpdatedHeaterDC,delta_dc=-0.24000000000003752,"{""current_dc"": 48.83, ""delta_dc"": -0.24000000000003752}"
2023-12-08 06:26:12,Spirulina 003,pio001,2023-12-08T06:26:12.066524Z,UpdatedHeaterDC,delta_dc=-0.20999999999997954,"{""current_dc"": 48.62, ""delta_dc"": -0.20999999999997954}"
2023-12-08 06:29:57,Spirulina 003,pio001,2023-12-08T06:29:57.072359Z,UpdatedHeaterDC,delta_dc=0.17999999999999616,"{""current_dc"": 48.8, ""delta_dc"": 0.17999999999999616}"
2023-12-08 06:33:42,Spirulina 003,pio001,2023-12-08T06:33:42.064467Z,UpdatedHeaterDC,delta_dc=-0.07499999999998508,"{""current_dc"": 48.73, ""delta_dc"": -0.07499999999998508}"
2023-12-08 06:37:27,Spirulina 003,pio001,2023-12-08T06:37:27.061123Z,UpdatedHeaterDC,delta_dc=-0.25500000000000256,"{""current_dc"": 48.47, ""delta_dc"": -0.25500000000000256}"
2023-12-08 06:41:12,Spirulina 003,pio001,2023-12-08T06:41:12.078136Z,UpdatedHeaterDC,delta_dc=0.17999999999999616,"{""current_dc"": 48.65, ""delta_dc"": 0.17999999999999616}"
2023-12-08 06:44:57,Spirulina 003,pio001,2023-12-08T06:44:57.073326Z,UpdatedHeaterDC,delta_dc=0.2999999999999936,"{""current_dc"": 48.95, ""delta_dc"": 0.2999999999999936}"
2023-12-08 06:48:42,Spirulina 003,pio001,2023-12-08T06:48:42.072525Z,UpdatedHeaterDC,delta_dc=-0.4050000000000047,"{""current_dc"": 48.55, ""delta_dc"": -0.4050000000000047}"
2023-12-08 06:52:27,Spirulina 003,pio001,2023-12-08T06:52:27.061864Z,UpdatedHeaterDC,delta_dc=0.13500000000000512,"{""current_dc"": 48.69, ""delta_dc"": 0.13500000000000512}"
2023-12-08 06:56:12,Spirulina 003,pio001,2023-12-08T06:56:12.072919Z,UpdatedHeaterDC,delta_dc=0.22500000000000853,"{""current_dc"": 48.92, ""delta_dc"": 0.22500000000000853}"
2023-12-08 06:59:57,Spirulina 003,pio001,2023-12-08T06:59:57.077632Z,UpdatedHeaterDC,delta_dc=-0.13500000000000512,"{""current_dc"": 48.78, ""delta_dc"": -0.13500000000000512}"
2023-12-08 07:03:42,Spirulina 003,pio001,2023-12-08T07:03:42.064335Z,UpdatedHeaterDC,delta_dc=-0.22500000000000853,"{""current_dc"": 48.55, ""delta_dc"": -0.22500000000000853}"
2023-12-08 07:07:27,Spirulina 003,pio001,2023-12-08T07:07:27.066766Z,UpdatedHeaterDC,delta_dc=0.2099999999999902,"{""current_dc"": 48.76, ""delta_dc"": 0.2099999999999902}"
2023-12-08 07:11:12,Spirulina 003,pio001,2023-12-08T07:11:12.060428Z,UpdatedHeaterDC,delta_dc=-0.04499999999999105,"{""current_dc"": 48.72, ""delta_dc"": -0.04499999999999105}"
2023-12-08 07:14:57,Spirulina 003,pio001,2023-12-08T07:14:57.069682Z,UpdatedHeaterDC,delta_dc=-0.15000000000002345,"{""current_dc"": 48.57, ""delta_dc"": -0.15000000000002345}"
2023-12-08 07:18:42,Spirulina 003,pio001,2023-12-08T07:18:42.069052Z,UpdatedHeaterDC,delta_dc=0.01500000000002899,"{""current_dc"": 48.59, ""delta_dc"": 0.01500000000002899}"
2023-12-08 07:22:27,Spirulina 003,pio001,2023-12-08T07:22:27.068236Z,UpdatedHeaterDC,delta_dc=0.34499999999998465,"{""current_dc"": 48.93, ""delta_dc"": 0.34499999999998465}"
2023-12-08 07:26:12,Spirulina 003,pio001,2023-12-08T07:26:12.065179Z,UpdatedHeaterDC,delta_dc=-0.17999999999999616,"{""current_dc"": 48.75, ""delta_dc"": -0.17999999999999616}"
2023-12-08 07:29:57,Spirulina 003,pio001,2023-12-08T07:29:57.061144Z,UpdatedHeaterDC,delta_dc=-0.15000000000002345,"{""current_dc"": 48.6, ""delta_dc"": -0.15000000000002345}"
2023-12-08 07:33:42,Spirulina 003,pio001,2023-12-08T07:33:42.068030Z,UpdatedHeaterDC,delta_dc=0.16499999999999915,"{""current_dc"": 48.77, ""delta_dc"": 0.16499999999999915}"
2023-12-08 07:37:27,Spirulina 003,pio001,2023-12-08T07:37:27.068483Z,UpdatedHeaterDC,delta_dc=-0.04499999999999105,"{""current_dc"": 48.73, ""delta_dc"": -0.04499999999999105}"
2023-12-08 07:41:12,Spirulina 003,pio001,2023-12-08T07:41:12.077272Z,UpdatedHeaterDC,delta_dc=0.0,"{""current_dc"": 48.73, ""delta_dc"": 0.0}"
2023-12-08 07:44:57,Spirulina 003,pio001,2023-12-08T07:44:57.061049Z,UpdatedHeaterDC,delta_dc=-0.07499999999998508,"{""current_dc"": 48.66, ""delta_dc"": -0.07499999999998508}"
2023-12-08 07:48:42,Spirulina 003,pio001,2023-12-08T07:48:42.068653Z,UpdatedHeaterDC,delta_dc=0.2699999999999996,"{""current_dc"": 48.93, ""delta_dc"": 0.2699999999999996}"
