timestamp_localtime,experiment,pioreactor_unit,timestamp,temperature_c
2023-11-28 10:49:17,Spirulina 003,pio001,2023-11-28T10:49:17.741481Z,32.42
2023-11-28 10:53:02,Spirulina 003,pio001,2023-11-28T10:53:02.742996Z,32.44
2023-11-28 10:56:47,Spirulina 003,pio001,2023-11-28T10:56:47.755145Z,32.47
2023-11-28 11:00:32,Spirulina 003,pio001,2023-11-28T11:00:32.741288Z,32.49
2023-11-28 11:04:17,Spirulina 003,pio001,2023-11-28T11:04:17.751209Z,32.5
2023-11-28 11:08:02,Spirulina 003,pio001,2023-11-28T11:08:02.747780Z,32.44
2023-11-28 11:11:47,Spirulina 003,pio001,2023-11-28T11:11:47.745876Z,32.5
2023-11-28 11:15:32,Spirulina 003,pio001,2023-11-28T11:15:32.745826Z,32.48
2023-11-28 11:19:17,Spirulina 003,pio001,2023-11-28T11:19:17.744924Z,32.52
2023-11-28 11:23:02,Spirulina 003,pio001,2023-11-28T11:23:02.742712Z,32.53
2023-11-28 11:26:47,Spirulina 003,pio001,2023-11-28T11:26:47.756111Z,32.51
2023-11-28 11:30:32,Spirulina 003,pio001,2023-11-28T11:30:32.752989Z,32.51
2023-11-28 11:34:17,Spirulina 003,pio001,2023-11-28T11:34:17.738168Z,32.5
2023-11-28 11:38:02,Spirulina 003,pio001,2023-11-28T11:38:02.740514Z,32.5
2023-11-28 11:41:47,Spirulina 003,pio001,2023-11-28T11:41:47.756432Z,32.48
2023-11-28 11:45:32,Spirulina 003,pio001,2023-11-28T11:45:32.747165Z,32.52
2023-11-28 11:49:17,Spirulina 003,pio001,2023-11-28T11:49:17.741851Z,32.52
2023-11-28 11:53:02,Spirulina 003,pio001,2023-11-28T11:53:02.740957Z,32.47
2023-11-28 11:56:47,Spirulina 003,pio001,2023-11-28T11:56:47.744877Z,32.5
2023-11-28 12:00:32,Spirulina 003,pio001,2023-11-28T12:00:32.749085Z,32.52
2023-11-28 12:04:17,Spirulina 003,pio001,2023-11-28T12:04:17.742567Z,32.48
2023-11-28 12:08:02,Spirulina 003,pio001,2023-11-28T12:08:02.756669Z,32.51
2023-11-28 12:11:47,Spirulina 003,pio001,2023-11-28T12:11:47.750781Z,32.5
2023-11-28 12:15:32,Spirulina 003,pio001,2023-11-28T12:15:32.750913Z,32.47
2023-11-28 12:19:17,Spirulina 003,pio001,2023-11-28T12:19:17.764024Z,32.48
2023-11-28 12:23:02,Spirulina 003,pio001,2023-11-28T12:23:02.749196Z,32.47
2023-11-28 12:26:47,Spirulina 003,pio001,2023-11-28T12:26:47.747660Z,32.46
2023-11-28 12:30:32,Spirulina 003,pio001,2023-11-28T12:30:32.756453Z,32.49
2023-11-28 12:34:17,Spirulina 003,pio001,2023-11-28T12:34:17.741944Z,32.48
2023-11-28 12:38:02,Spirulina 003,pio001,2023-11-28T12:38:02.748684Z,32.47
2023-11-28 12:41:47,Spirulina 003,pio001,2023-11-28T12:41:47.766998Z,32.48
2023-11-28 12:45:32,Spirulina 003,pio001,2023-11-28T12:45:32.754931Z,32.52
2023-11-28 12:49:17,Spirulina 003,pio001,2023-11-28T12:49:17.756899Z,32.42
2023-11-28 12:53:02,Spirulina 003,pio001,2023-11-28T12:53:02.753021Z,32.47
2023-11-28 12:56:47,Spirulina 003,pio001,2023-11-28T12:56:47.757090Z,32.51
2023-11-28 13:00:32,Spirulina 003,pio001,2023-11-28T13:00:32.741156Z,32.53
2023-11-28 13:04:17,Spirulina 003,pio001,2023-11-28T13:04:17.741858Z,32.54
2023-11-28 13:08:02,Spirulina 003,pio001,2023-11-28T13:08:02.758584Z,32.54
2023-11-28 13:11:47,Spirulina 003,pio001,2023-11-28T13:11:47.757998Z,32.54
2023-11-28 13:15:32,Spirulina 003,pio001,2023-11-28T13:15:32.748092Z,32.54
2023-11-28 13:19:17,Spirulina 003,pio001,2023-11-28T13:19:17.754662Z,32.53
2023-11-28 13:23:02,Spirulina 003,pio001,2023-11-28T13:23:02.753996Z,32.43
2023-11-28 13:26:47,Spirulina 003,pio001,2023-11-28T13:26:47.752714Z,32.5
2023-11-28 13:30:32,Spirulina 003,pio001,2023-11-28T13:30:32.756187Z,32.52
2023-11-28 13:34:17,Spirulina 003,pio001,2023-11-28T13:34:17.746255Z,32.5
2023-11-28 13:38:02,Spirulina 003,pio001,2023-11-28T13:38:02.751383Z,32.52
2023-11-28 13:41:47,Spirulina 003,pio001,2023-11-28T13:41:47.749230Z,32.49
2023-11-28 13:45:32,Spirulina 003,pio001,2023-11-28T13:45:32.755706Z,32.51
2023-11-28 13:49:17,Spirulina 003,pio001,2023-11-28T13:49:17.751491Z,32.53
2023-11-28 13:53:02,Spirulina 003,pio001,2023-11-28T13:53:02.745427Z,32.49
2023-11-28 13:56:47,Spirulina 003,pio001,2023-11-28T13:56:47.735699Z,32.47
2023-11-28 14:00:32,Spirulina 003,pio001,2023-11-28T14:00:32.743472Z,32.47
2023-11-28 14:04:17,Spirulina 003,pio001,2023-11-28T14:04:17.750647Z,32.47
2023-11-28 14:08:02,Spirulina 003,pio001,2023-11-28T14:08:02.754478Z,32.47
2023-11-28 14:11:47,Spirulina 003,pio001,2023-11-28T14:11:47.756978Z,32.52
